"","bg_female","bg_married","bg_b1_age","encouragement","safe_box","locked_box","fol2_amtinvest","has_followup2"
"1",0,1,30,0,1,0,340,1
"2",1,1,29,0,1,0,80,1
"3",1,1,40,0,1,0,0,1
"4",0,1,44,0,1,0,100,1
"5",0,1,22,0,1,0,NA,0
"6",1,0,35,0,1,0,510,1
"7",1,0,45,0,1,0,NA,0
"8",1,0,28,0,1,0,60,1
"9",1,1,45,0,1,0,1140,1
"10",1,1,42,0,1,0,0,1
"11",0,1,48,0,1,0,100,1
"12",1,1,25,0,1,0,33,1
"13",1,1,25,0,1,0,940,1
"14",1,1,28,0,1,0,850,1
"15",1,0,40,0,1,0,290,1
"16",1,1,37,0,1,0,40,1
"17",1,1,45,0,0,1,120,1
"18",1,1,30,0,0,1,1300,1
"19",1,0,40,0,0,1,100,1
"20",1,0,48,0,0,1,0,1
"21",1,1,40,0,0,1,640,1
"22",1,1,52,0,0,1,800,1
"23",0,1,33,0,0,1,1560,1
"24",1,1,47,0,0,1,96,1
"25",1,0,42,0,0,1,470,1
"26",1,0,55,0,0,1,60,1
"27",1,0,40,0,0,1,100,1
"28",1,0,24,0,0,1,550,1
"29",1,1,20,0,0,1,NA,0
"30",1,1,50,0,0,1,220,1
"31",0,1,51,0,0,1,40,1
"32",0,1,46,0,0,1,60,1
"33",1,1,40,0,0,1,80,1
"34",1,0,17,0,0,1,NA,0
"35",0,1,68,0,0,1,0,1
"36",1,1,33,0,0,1,NA,0
"37",1,1,38,0,0,1,NA,0
"38",1,1,68,0,0,1,0,1
"39",1,1,46,0,0,1,40,1
"40",0,1,48,1,0,0,110,1
"41",0,0,32,1,0,0,0,1
"42",0,1,35,1,0,0,93,1
"43",1,1,47,1,0,0,20,1
"44",1,1,35,1,0,0,80,1
"45",0,1,56,1,0,0,1399,1
"46",0,1,33,1,0,0,0,1
"47",0,1,24,1,0,0,125,1
"48",1,1,24,1,0,0,225,1
"49",1,1,48,1,0,0,105,1
"50",1,0,30,1,0,0,40,1
"51",0,1,48,0,0,1,440,1
"52",1,0,63,0,0,1,500,1
"53",0,1,35,0,0,1,40,1
"54",1,0,62,0,0,1,700,1
"55",0,1,56,0,0,1,770,1
"56",1,1,45,0,0,1,0,1
"57",0,1,34,0,0,1,0,1
"58",1,1,40,0,0,1,720,1
"59",1,1,52,0,0,1,0,1
"60",1,1,45,0,0,1,900,1
"61",1,1,45,0,0,1,40,1
"62",1,1,40,0,0,1,0,1
"63",1,1,35,0,0,1,0,1
"64",1,1,23,0,0,1,700,1
"65",1,1,23,0,0,1,60,1
"66",1,1,23,0,0,1,470,1
"67",1,1,30,0,0,1,520,1
"68",0,1,41,0,0,1,300,1
"69",1,1,21,0,1,0,993,1
"70",1,0,32,1,0,0,180,1
"71",1,0,34,1,0,0,300,1
"72",1,1,43,1,0,0,60,1
"73",1,1,34,1,0,0,20,1
"74",1,0,38,1,0,0,725,1
"75",1,1,38,1,0,0,0,1
"76",1,1,39,1,0,0,120,1
"77",1,1,38,1,0,0,20,1
"78",1,1,32,0,0,1,560,1
"79",1,1,28,0,0,1,840,1
"80",1,1,27,0,0,1,63,1
"81",1,1,25,0,0,1,880,1
"82",1,1,26,0,1,0,500,1
"83",1,1,38,0,1,0,1430,1
"84",1,1,38,0,1,0,350,1
"85",1,1,26,0,1,0,640,1
"86",0,1,36,0,1,0,0,1
"87",1,1,30,0,1,0,420,1
"88",1,1,30,0,1,0,850,1
"89",1,0,25,0,1,0,0,1
"90",1,1,45,0,1,0,700,1
"91",1,0,30,0,1,0,1075,1
"92",1,0,52,0,1,0,40,1
"93",1,0,55,0,1,0,60,1
"94",1,0,40,0,1,0,490,1
"95",1,0,63,0,1,0,60,1
"96",1,0,50,0,1,0,630,1
"97",0,0,50,0,1,0,80,1
"98",1,0,70,0,1,0,70,1
"99",1,1,25,0,1,0,790,1
"100",0,1,44,0,1,0,150,1
"101",0,1,42,0,1,0,1180,1
"102",0,1,26,0,1,0,NA,0
"103",0,1,28,0,1,0,NA,0
"104",1,0,49,0,1,0,40,1
"105",1,1,35,0,1,0,150,1
"106",0,1,44,0,1,0,300,1
"107",1,1,26,0,1,0,760,1
"108",1,1,35,0,1,0,20,1
"109",1,1,35,0,1,0,390,1
"110",1,1,43,1,0,0,980,1
"111",1,1,44,1,0,0,710,1
"112",1,0,42,0,0,1,240,1
"113",1,1,48,0,0,1,0,1
"114",1,1,21,0,0,1,100,1
"115",1,1,46,0,0,1,205,1
"116",1,1,21,0,0,1,60,1
"117",1,1,35,0,0,1,100,1
"118",1,1,51,0,0,1,40,1
"119",1,1,40,0,0,1,0,1
"120",1,0,50,0,0,1,0,1
"121",1,1,27,0,1,0,2580,1
"122",1,1,32,0,1,0,5700,1
"123",1,0,45,0,1,0,20,1
"124",1,1,32,0,1,0,NA,0
"125",1,1,18,0,1,0,150,1
"126",1,0,42,0,0,1,20,1
"127",1,1,47,0,0,1,400,1
"128",1,0,47,0,0,1,70,1
"129",1,0,62,0,0,1,0,1
"130",1,0,70,0,0,1,0,1
"131",1,0,76,0,0,1,NA,0
"132",1,0,38,0,0,1,60,1
"133",1,0,70,0,0,1,20,1
"134",1,0,24,0,0,1,0,1
"135",0,1,37,0,1,0,NA,0
"136",1,1,45,0,1,0,290,1
"137",1,0,45,0,1,0,40,1
"138",0,1,34,0,1,0,650,1
"139",0,1,36,0,1,0,NA,0
"140",0,1,40,1,0,0,80,1
"141",0,1,41,1,0,0,600,1
"142",1,1,40,1,0,0,0,1
"143",1,1,32,1,0,0,385,1
"144",1,1,24,1,0,0,50,1
"145",0,1,36,1,0,0,50,1
"146",0,1,30,1,0,0,350,1
"147",0,1,33,0,0,1,200,1
"148",0,1,29,0,0,1,250,1
"149",0,0,22,0,0,1,700,1
"150",1,1,29,0,0,1,40,1
"151",1,1,29,0,0,1,80,1
"152",1,1,22,0,0,1,1040,1
"153",1,0,32,0,0,1,30,1
"154",1,1,32,0,0,1,1535,1
"155",1,0,20,0,0,1,250,1
"156",1,1,31,0,0,1,295,1
"157",0,1,26,0,0,1,40,1
"158",1,0,24,0,0,1,290,1
"159",1,0,58,1,0,0,0,1
"160",1,0,63,1,0,0,0,1
"161",1,1,68,1,0,0,530,1
"162",1,1,30,1,0,0,640,1
"163",1,1,55,1,0,0,NA,0
"164",1,1,68,1,0,0,63,1
"165",1,1,35,1,0,0,250,1
"166",1,0,55,1,0,0,60,1
"167",1,1,65,1,0,0,5,1
"168",1,0,40,1,0,0,1010,1
"169",1,1,31,1,0,0,550,1
"170",1,0,80,0,0,1,0,1
"171",1,1,35,0,0,1,750,1
"172",1,1,38,0,0,1,0,1
"173",1,0,48,0,0,1,40,1
"174",1,1,40,0,0,1,1590,1
"175",1,1,45,0,0,1,105,1
"176",1,0,50,0,0,1,0,1
"177",1,1,53,0,0,1,0,1
"178",1,0,34,0,1,0,750,1
"179",1,0,88,0,1,0,0,1
"180",1,0,29,0,1,0,330,1
"181",1,0,68,0,1,0,310,1
"182",1,1,36,0,1,0,1210,1
"183",0,1,38,1,0,0,160,1
"184",0,1,38,1,0,0,110,1
"185",0,1,65,1,0,0,0,1
"186",0,1,45,1,0,0,0,1
"187",0,1,68,1,0,0,40,1
"188",1,1,55,1,0,0,100,1
"189",1,1,32,1,0,0,105,1
"190",1,1,45,0,0,1,600,1
"191",0,1,66,0,0,1,60,1
"192",0,1,50,0,0,1,263,1
"193",1,1,36,0,0,1,660,1
"194",1,0,67,0,0,1,680,1
"195",1,1,70,0,0,1,2740,1
"196",1,1,70,0,0,1,2740,1
"197",1,0,42,0,0,1,470,1
"198",0,1,65,0,0,1,99,1
"199",0,1,60,0,0,1,20,1
"200",1,1,20,0,0,1,560,1
"201",0,0,34,0,0,1,60,1
"202",0,1,46,0,0,1,670,1
"203",1,1,50,0,0,1,100,1
"204",0,1,31,0,0,1,310,1
"205",0,1,45,0,1,0,283,1
"206",1,0,35,0,1,0,20,1
"207",1,1,42,0,1,0,60,1
"208",1,1,30,0,1,0,410,1
"209",0,1,40,0,1,0,60,1
"210",1,1,34,0,1,0,20,1
"211",1,1,49,0,1,0,10,1
"212",1,0,60,0,1,0,20,1
"213",0,1,40,1,0,0,710,1
"214",1,1,48,1,0,0,180,1
"215",1,1,53,1,0,0,430,1
"216",1,0,18,1,0,0,200,1
"217",1,0,43,1,0,0,60,1
"218",1,0,38,1,0,0,40,1
"219",1,0,50,1,0,0,60,1
"220",0,0,27,1,0,0,740,1
"221",1,1,31,1,0,0,NA,0
"222",1,0,42,1,0,0,230,1
"223",1,1,30,1,0,0,0,1
"224",1,1,30,0,0,1,90,1
"225",0,1,35,0,0,1,650,1
"226",1,1,20,0,0,1,140,1
"227",1,1,52,0,0,1,0,1
"228",1,1,21,0,0,1,0,1
"229",1,1,38,0,1,0,120,1
"230",1,1,45,1,0,0,NA,0
"231",1,1,56,0,1,0,50,1
"232",1,1,53,0,1,0,500,1
"233",1,1,28,0,1,0,130,1
"234",0,1,22,0,1,0,340,1
"235",0,1,31,0,1,0,NA,0
"236",0,1,27,0,1,0,0,1
"237",0,1,32,0,1,0,0,1
"238",0,1,30,0,1,0,0,1
"239",0,1,34,0,1,0,120,1
"240",1,1,23,0,1,0,NA,0
"241",1,1,29,0,0,1,NA,0
"242",0,1,49,0,0,1,40,1
"243",0,1,44,0,0,1,1060,1
"244",0,1,32,0,0,1,450,1
"245",0,1,36,0,0,1,132,1
"246",1,1,24,0,0,1,20,1
"247",1,1,27,0,0,1,35,1
"248",1,0,28,0,1,0,560,1
"249",1,1,35,0,0,1,100,1
"250",1,0,40,0,0,1,50,1
"251",1,0,42,0,0,1,50,1
"252",1,1,30,0,0,1,0,1
"253",1,0,28,0,0,1,60,1
"254",1,1,35,0,0,1,80,1
"255",1,1,30,0,0,1,0,1
"256",0,1,48,1,0,0,700,1
"257",0,1,35,1,0,0,336,1
"258",1,1,31,1,0,0,230,1
"259",0,0,22,1,0,0,NA,0
"260",1,0,50,1,0,0,40,1
"261",1,1,52,1,0,0,350,1
"262",1,1,22,1,0,0,600,1
"263",0,1,76,1,0,0,480,1
"264",0,1,50,1,0,0,NA,0
"265",0,1,26,0,0,1,20,1
"266",0,1,26,0,0,1,283,1
"267",1,1,30,0,0,1,20,1
"268",0,1,51,0,0,1,0,1
"269",1,1,45,0,0,1,245,1
"270",1,1,53,0,0,1,40,1
"271",1,1,30,0,0,1,540,1
"272",1,0,45,0,0,1,0,1
"273",1,1,45,0,0,1,0,1
"274",1,1,25,0,0,1,575,1
"275",1,1,42,0,0,1,1450,1
"276",1,1,50,0,0,1,1428,1
"277",1,1,42,0,0,1,NA,0
"278",1,0,53,0,0,1,1700,1
"279",0,1,24,1,0,0,1190,1
"280",0,1,30,1,0,0,60,1
"281",0,1,30,0,0,1,80,1
"282",0,0,30,1,0,0,NA,0
"283",1,1,25,0,0,1,70,1
"284",1,0,20,0,0,1,683,1
"285",1,0,19,0,0,1,300,1
"286",1,1,23,0,0,1,35,1
"287",1,1,29,0,0,1,70,1
"288",1,1,20,0,0,1,335,1
"289",1,1,26,0,0,1,33,1
"290",1,1,25,0,0,1,55,1
"291",0,1,65,1,0,0,0,1
"292",0,0,37,0,1,0,45,1
"293",0,1,26,1,0,0,1030,1
"294",0,1,47,1,0,0,65,1
"295",1,0,38,0,1,0,80,1
"296",0,1,48,0,1,0,70,1
"297",1,1,31,0,1,0,1000,1
"298",0,0,24,0,1,0,0,1
"299",1,1,40,0,1,0,NA,0
"300",1,1,22,0,1,0,1130,1
"301",1,1,37,0,1,0,480,1
"302",1,1,30,0,1,0,113,1
"303",1,1,26,0,1,0,80,1
"304",1,1,38,0,1,0,73,1
"305",0,1,30,0,1,0,0,1
"306",0,0,32,0,0,1,1850,1
"307",1,0,48,0,0,1,105,1
"308",0,1,56,0,0,1,80,1
"309",1,1,55,0,0,1,360,1
"310",1,0,50,0,0,1,0,1
"311",0,1,28,0,0,1,53,1
"312",0,1,38,0,0,1,80,1
"313",1,1,20,0,0,1,50,1
"314",0,1,21,0,0,1,1575,1
"315",1,1,27,0,1,0,600,1
"316",1,1,26,0,1,0,1000,1
"317",1,1,55,0,1,0,985,1
"318",1,1,46,0,1,0,70,1
"319",1,1,21,0,0,1,40,1
"320",0,0,22,0,0,1,1400,1
"321",0,1,27,0,0,1,190,1
"322",1,1,49,0,0,1,NA,0
"323",1,1,40,0,0,1,0,1
"324",1,1,38,0,0,1,NA,0
"325",0,1,39,0,0,1,710,1
"326",0,1,43,0,0,1,81,1
"327",1,0,53,0,0,1,60,1
"328",0,1,52,0,0,1,105,1
"329",1,1,34,0,0,1,60,1
"330",1,1,45,0,0,1,300,1
"331",0,0,40,0,0,1,35,1
"332",0,1,35,0,0,1,0,1
"333",0,1,55,0,0,1,0,1
"334",0,1,35,0,0,1,80,1
"335",0,1,24,1,0,0,53,1
"336",1,1,28,1,0,0,NA,0
"337",1,1,55,0,0,1,53,1
"338",1,0,25,1,0,0,750,1
"339",1,1,41,1,0,0,553,1
"340",1,1,25,0,0,1,63,1
"341",1,1,27,1,0,0,626,1
"342",1,1,24,0,0,1,40,1
"343",1,0,27,1,0,0,40,1
"344",1,1,42,1,0,0,40,1
"345",1,1,33,0,0,1,40,1
"346",1,1,35,0,1,0,80,1
"347",1,0,55,0,1,0,300,1
"348",1,1,34,1,0,0,80,1
"349",1,1,46,1,0,0,20,1
"350",1,1,60,1,0,0,NA,0
"351",1,1,45,1,0,0,40,1
"352",1,1,70,1,0,0,60,1
"353",1,0,50,1,0,0,610,1
"354",1,1,54,1,0,0,80,1
"355",1,0,62,1,0,0,0,1
"356",1,0,65,1,0,0,50,1
"357",1,0,40,1,0,0,730,1
"358",1,0,64,0,1,0,740,1
"359",1,1,35,0,1,0,470,1
"360",1,1,36,0,1,0,60,1
"361",0,1,28,0,1,0,125,1
"362",1,1,30,0,1,0,60,1
"363",1,1,40,0,1,0,310,1
"364",1,1,23,0,1,0,80,1
"365",1,1,33,0,1,0,860,1
"366",1,1,36,0,0,1,NA,0
"367",0,1,34,0,0,1,550,1
"368",1,1,42,0,0,1,660,1
"369",1,1,57,0,0,1,60,1
"370",1,1,29,0,0,1,NA,0
"371",1,1,43,0,0,1,220,1
"372",1,0,33,1,0,0,80,1
"373",1,1,29,1,0,0,690,1
"374",1,0,54,1,0,0,40,1
"375",0,1,45,0,1,0,0,1
"376",0,1,78,1,0,0,80,1
"377",1,1,43,1,0,0,80,1
"378",1,1,43,1,0,0,360,1
"379",1,1,50,1,0,0,600,1
"380",0,1,69,1,0,0,510,1
"381",1,0,66,1,0,0,0,1
"382",1,1,25,1,0,0,330,1
"383",1,1,27,1,0,0,300,1
"384",1,0,49,1,0,0,0,1
"385",1,1,34,1,0,0,456,1
"386",1,1,32,1,0,0,160,1
"387",1,1,48,1,0,0,130,1
"388",1,1,28,1,0,0,0,1
"389",1,1,28,1,0,0,NA,0
"390",1,1,31,1,0,0,410,1
"391",1,1,46,1,0,0,0,1
"392",1,1,19,1,0,0,40,1
"393",1,1,28,1,0,0,120,1
"394",1,1,49,0,1,0,434,1
"395",1,1,55,0,1,0,1140,1
"396",1,1,51,0,1,0,0,1
"397",1,1,53,0,1,0,650,1
"398",1,1,29,0,1,0,360,1
"399",1,0,56,0,1,0,310,1
"400",1,1,30,0,1,0,350,1
"401",1,1,38,0,1,0,60,1
"402",0,1,35,0,0,1,320,1
"403",1,0,62,0,0,1,80,1
"404",0,1,34,0,0,1,0,1
"405",0,1,31,0,0,1,60,1
"406",0,0,19,0,0,1,250,1
"407",0,1,24,0,0,1,0,1
"408",1,1,30,0,0,1,130,1
"409",1,1,33,0,0,1,0,1
"410",1,1,23,0,0,1,60,1
"411",1,1,55,0,0,1,860,1
"412",1,0,48,0,1,0,60,1
"413",1,1,36,0,1,0,120,1
"414",1,1,40,0,0,1,120,1
"415",1,1,28,0,0,1,60,1
"416",1,1,48,0,0,1,0,1
"417",1,0,52,0,0,1,20,1
"418",1,1,46,0,0,1,30,1
"419",1,1,35,0,0,1,670,1
"420",1,0,58,0,0,1,620,1
"421",1,1,43,0,0,1,120,1
"422",1,1,47,0,0,1,60,1
"423",1,1,49,0,0,1,40,1
